types,counts,probs,total_unique
Kyle,1678,0.0009247313842699775,14103
Griffin,1677,0.0009241802928609966,14103
Kenneth,1670,0.0009203226529981302,14103
Josue,1664,0.0009170161045442447,14103
Enzo,1659,0.00091426064749934,14103
Felix,1653,0.0009109540990454546,14103
Arthur,1652,0.0009104030076364737,14103
Beckett,1652,0.0009104030076364737,14103
Lukas,1652,0.0009104030076364737,14103
Adriel,1648,0.00090819864200055,14103
Bryan,1639,0.0009032388193197218,14103
Paul,1634,0.0009004833622748171,14103
Brian,1630,0.0008982789966388935,14103
Colt,1626,0.0008960746310029698,14103
Caden,1613,0.0008889104426862179,14103
Leon,1604,0.0008839506200053897,14103
Archer,1593,0.0008778886145065996,14103
